,gauge,accDepth_DAP,rainCode,intensityCode_a,timeCode_a,dataType,rainStartTime,timeStamp
59,83,6.096,0,0.0,0.0,a,1963-08-22 12:25:00,1963-08-22 12:48:00
60,83,6.096,0,0.0,0.0,a,1963-08-22 12:25:00,1963-08-22 13:12:00
61,83,7.366,0,0.0,0.0,a,1963-08-22 12:25:00,1963-08-22 13:24:00
62,83,9.144,0,0.0,0.0,a,1963-08-22 12:25:00,1963-08-22 13:33:00
63,83,0.0,0,0.0,0.0,a,1963-08-22 14:45:00,1963-08-22 14:45:00
64,83,2.54,0,0.0,0.0,a,1963-08-22 14:45:00,1963-08-22 14:54:00
65,83,2.54,0,0.0,0.0,a,1963-08-22 14:45:00,1963-08-22 15:31:00
66,83,5.334,0,0.0,0.0,a,1963-08-22 14:45:00,1963-08-22 15:51:00
67,83,7.112,0,0.0,0.0,a,1963-08-22 14:45:00,1963-08-22 16:01:00
68,83,9.906,0,0.0,0.0,a,1963-08-22 14:45:00,1963-08-22 16:15:00
69,83,0.0,0,0.0,0.0,a,1963-08-22 17:30:00,1963-08-22 17:30:00
70,83,1.524,0,0.0,0.0,a,1963-08-22 17:30:00,1963-08-22 17:46:00
71,83,4.064,0,0.0,0.0,a,1963-08-22 17:30:00,1963-08-22 17:51:00
72,83,8.128,0,0.0,0.0,a,1963-08-22 17:30:00,1963-08-22 18:00:00
73,83,11.176,0,0.0,0.0,a,1963-08-22 17:30:00,1963-08-22 18:23:00
74,83,0.0,0,0.0,0.0,a,1963-08-25 18:57:00,1963-08-25 18:57:00
75,83,3.048,0,0.0,0.0,a,1963-08-25 18:57:00,1963-08-25 19:00:00
76,83,6.096,0,0.0,0.0,a,1963-08-25 18:57:00,1963-08-25 19:05:00
77,83,8.636,0,0.0,0.0,a,1963-08-25 18:57:00,1963-08-25 19:07:00
78,83,10.668,0,0.0,0.0,a,1963-08-25 18:57:00,1963-08-25 19:17:00
