flume,preName,dataType,startTime,endTime,runoffDur_cal,rainDurMin,runoffVolume_DAP,runoffPeak_DAP,sediKg_DAP,runRainRatio,runEventCode,nGauges,maxRain,minRain,rainStartTime,rainEndTime,ratioFlag,runTimeFlag,missingRunDAPFlag,noRunRateFlag,noRainFlag,lowRainFlag,lowRunFlag,runCodeFlag,runCalc_dFlag,rainCodeFlag,timeFlag,intensityFlag,sameRainFlag,rainLateFlag,runTooLateFlag,runTooLateFlag2
102,a19640816-155300,a,1964-08-16 15:53:00,1964-08-16 16:32:00,39.0,28.0,8.32866,47.4664278,,0.4372000175095612,1,1.0,19.049999237060547,19.049999237060547,1964-08-16 15:40:00,1964-08-16 16:08:00,,,,,,,,1.0,,,,,,,,
102,a19640827-015900,a,1964-08-27 01:59:00,1964-08-27 02:23:00,24.0,85.0,0.49580799999999997,4.065397,,0.05275675808443985,1,1.0,9.39799976348877,9.39799976348877,1964-08-27 01:35:00,1964-08-27 03:00:00,,,,,,,,1.0,,,,,,,,
102,a19640908-175100,a,1964-09-08 17:51:00,1964-09-08 18:47:00,56.0,55.0,9.78154,44.9468494,,0.44779070048959413,1,1.0,21.8439998626709,21.8439998626709,1964-09-08 17:35:00,1964-09-08 18:30:00,,,,,,,,1.0,,,,,,,,
102,a19640909-234800,a,1964-09-09 23:48:00,1964-09-10 00:48:00,60.0,373.0,13.347699999999998,62.16101359999999,,0.5417525665830172,1,1.0,24.63800048828125,24.63800048828125,1964-09-09 23:20:00,1964-09-10 05:33:00,,,,,,,,1.0,,,,,,,,
102,a19641016-153300,a,1964-10-16 15:33:00,1964-10-16 15:59:00,26.0,151.0,0.342392,2.2276561999999998,,0.028680851723691673,0,1.0,11.937999725341797,11.937999725341797,1964-10-16 14:00:00,1964-10-16 16:31:00,,,,,,,,,,,,,,,,
102,a19641116-111400,a,1964-11-16 11:14:00,1964-11-16 11:43:00,29.0,999.0,2.351024,14.2336012,,0.2644571326440775,0,1.0,8.890000343322754,8.890000343322754,1964-11-15 19:45:00,1964-11-16 12:24:00,,,,,,,,,,,,,,,,1.0
102,a19650727-194300,a,1965-07-27 19:43:00,1965-07-27 20:15:00,32.0,274.0,0.39751,1.7781778,,0.015969387627842047,1,1.0,24.892000198364258,24.892000198364258,1965-07-27 19:40:00,1965-07-28 00:14:00,,,,,,,,1.0,,,,,,,,
102,a19650813-155900,a,1965-08-13 15:59:00,1965-08-13 17:03:00,64.0,203.0,15.748,76.61211499999999,,0.40000001085207276,0,1.0,39.369998931884766,39.369998931884766,1965-08-13 15:50:00,1965-08-13 19:13:00,,,,,,,,,,,,,,,,
102,a19650902-195400,a,1965-09-02 19:54:00,1965-09-02 20:25:00,31.0,120.0,0.27177999999999997,1.3760196,,0.02815789349043203,1,1.0,9.652000427246094,9.652000427246094,1965-09-02 19:40:00,1965-09-02 21:40:00,,,,,,,,1.0,,,,,,,,
102,a19650904-160900,a,1965-09-04 16:09:00,1965-09-04 16:34:00,25.0,97.0,0.1057656,0.22090379999999998,,0.009463636667276794,0,1.0,11.175999641418457,11.175999641418457,1965-09-04 15:55:00,1965-09-04 17:32:00,,,,,,,,,,,,,,,,
102,a19651209-153300,a,1965-12-09 15:33:00,1965-12-09 22:31:00,418.0,840.0,0.9888728,2.9598874,0.0,0.030898411136855774,0,1.0,32.00400161743164,32.00400161743164,1965-12-09 13:25:00,1965-12-10 03:25:00,,,,,,,,,,,,,1.0,,,
102,a19651211-005100,a,1965-12-11 00:51:00,1965-12-11 01:26:00,35.0,150.0,0.20129499999999997,0.4393945999999999,,0.023308824394274327,0,1.0,8.63599967956543,8.63599967956543,1965-12-10 23:00:00,1965-12-11 01:30:00,,,,,,,,,,,,,,,,
102,a19660728-195700,a,1966-07-28 19:57:00,1966-07-28 20:11:00,14.0,258.0,0.06329679999999999,0.0,,0.0033675676523161908,0,1.0,18.79599952697754,18.79599952697754,1966-07-28 18:55:00,1966-07-28 23:13:00,,,,,,,,,,,,,,,,
102,a19660729-185000,a,1966-07-29 18:50:00,1966-07-29 19:21:00,31.0,33.0,1.1856719999999998,8.748166399999999,,0.056926831687190406,0,1.0,20.827999114990234,20.827999114990234,1966-07-29 18:35:00,1966-07-29 19:08:00,,,,,,,,,,,,,,,,
102,a19660806-003700,a,1966-08-06 00:37:00,1966-08-06 02:15:00,98.0,251.0,0.02223008,0.0,,0.0008256603839095263,1,1.0,26.923999786376953,26.923999786376953,1966-08-05 22:42:00,1966-08-06 02:53:00,,,0.0,,,,,1.0,,,,,,,,
102,a19660814-182400,a,1966-08-14 18:24:00,1966-08-14 19:16:00,52.0,52.0,1.032256,9.940442399999998,,0.06662294894974265,0,1.0,15.494000434875488,15.494000434875488,1966-08-14 18:18:00,1966-08-14 19:10:00,,,,,,,,,,,,,,,,
102,a19660816-114200,a,1966-08-16 11:42:00,1966-08-16 11:46:00,4.0,,0.00266446,0.0,,,0,,,,,,,,,,1.0,,1.0,,,,,,,,,
102,a19660820-121700,a,1966-08-20 12:17:00,1966-08-20 12:46:00,29.0,44.0,0.705104,6.547484999999999,,0.07117948619270999,1,1.0,9.906000137329102,9.906000137329102,1966-08-20 11:50:00,1966-08-20 12:34:00,,,,,,,,1.0,,,,,,,,
102,a19660831-155000,a,1966-08-31 15:50:00,1966-08-31 15:50:00,,255.0,1.8033999999999997,0.0,,0.10441176858003011,0,1.0,17.27199935913086,17.27199935913086,1966-08-31 12:35:00,1966-08-31 16:50:00,,,,1.0,,,,,,,,1.0,,,,
102,a19660915-031900,a,1966-09-15 03:19:00,1966-09-15 03:43:00,24.0,50.0,0.307594,1.2554203999999998,,0.031051281620811163,0,1.0,9.906000137329102,9.906000137329102,1966-09-15 03:00:00,1966-09-15 03:50:00,,,,,,,,,,,,,,,,
102,a19670709-183600,a,1967-07-09 18:36:00,1967-07-09 22:06:00,210.0,209.0,0.13531088,0.0491744,,0.01087183664805625,0,1.0,12.446000099182129,12.446000099182129,1967-07-09 18:28:00,1967-07-09 21:57:00,,,0.0,,,,,,,,,,,,,
102,a19670715-144600,a,1967-07-15 14:46:00,1967-07-15 15:35:00,49.0,55.0,0.261366,0.7406386,,0.01941509449366779,0,1.0,13.461999893188477,13.461999893188477,1967-07-15 14:33:00,1967-07-15 15:28:00,,,,,,,,,,,,,,,,
102,a19670716-162700,a,1967-07-16 16:27:00,1967-07-16 17:36:00,69.0,119.0,0.6678168,1.9260565999999997,,0.0496075475634124,0,1.0,13.461999893188477,13.461999893188477,1967-07-16 16:15:00,1967-07-16 18:14:00,,,0.0,,,,,,,,,,,,,
102,a19670731-145200,a,1967-07-31 14:52:00,1967-07-31 15:15:00,23.0,20.0,0.414782,2.7309064,,0.04297368230829487,0,1.0,9.652000427246094,9.652000427246094,1967-07-31 14:36:00,1967-07-31 14:56:00,,,,,,,,,,,,,,,,
102,a19670802-190200,a,1967-08-02 19:02:00,1967-08-02 19:36:00,34.0,90.0,0.7579359999999999,3.5976051999999994,,0.06348936316283083,0,1.0,11.937999725341797,11.937999725341797,1967-08-02 18:59:00,1967-08-02 20:29:00,,,,,,,,,,,,,,,,
102,a19670809-202000,a,1967-08-09 20:20:00,1967-08-09 20:46:00,26.0,60.0,0.18686779999999997,1.2529058,,0.030654165688360484,0,1.0,6.0960001945495605,6.0960001945495605,1967-08-09 20:17:00,1967-08-09 21:17:00,,,,,,,,,,,,,,,,
102,a19670816-000500,a,1967-08-16 00:05:00,1967-08-16 00:15:00,10.0,644.0,0.059512199999999994,0.0,,0.005714634389163973,0,1.0,10.413999557495117,10.413999557495117,1967-08-15 14:32:00,1967-08-16 01:16:00,,,,,,,,,,,1.0,1.0,,,,1.0
102,a19670821-130900,a,1967-08-21 13:09:00,1967-08-21 13:28:00,19.0,94.0,0.0706374,0.021132799999999997,,0.008690624722644813,0,1.0,8.128000259399414,8.128000259399414,1967-08-21 12:55:00,1967-08-21 14:29:00,,,,,,,,,,,,,,,,
102,a19670910-145600,a,1967-09-10 14:56:00,1967-09-10 15:39:00,43.0,63.0,0.974598,7.989747799999999,,0.08526666439008565,1,1.0,11.430000305175781,11.430000305175781,1967-09-10 14:44:00,1967-09-10 15:47:00,,,,,,,,1.0,,,,,,,,
102,a19670911-153900,a,1967-09-11 15:39:00,1967-09-11 16:40:00,61.0,44.0,2.378456,6.2769242,,0.14187878839534682,0,1.0,16.763999938964844,16.763999938964844,1967-09-11 15:31:00,1967-09-11 16:15:00,,,,,,,,,,,,,,,,
102,a19670924-155700,a,1967-09-24 15:57:00,1967-09-24 16:26:00,29.0,54.0,2.259838,25.035255999999997,,0.20220455194227094,0,1.0,11.175999641418457,11.175999641418457,1967-09-24 15:52:00,1967-09-24 16:46:00,,,,,,,,,,,,,,,,
102,a19670925-170500,a,1967-09-25 17:05:00,1967-09-25 17:32:00,27.0,21.0,0.305054,2.045081,,0.06005000090186053,0,1.0,5.079999923706055,5.079999923706055,1967-09-25 17:02:00,1967-09-25 17:23:00,,,,,,,,,,,,,,,,
102,a19670926-165200,a,1967-09-26 16:52:00,1967-09-26 17:16:00,24.0,148.0,0.12740639999999998,0.37876479999999996,,0.02089999933299119,0,1.0,6.0960001945495605,6.0960001945495605,1967-09-26 16:38:00,1967-09-26 19:06:00,,,,,,,,,,,,,,,,
102,a19671215-031100,a,1967-12-15 03:11:00,1967-12-15 03:30:00,19.0,1790.0,0.0694182,0.1838198,,0.0021519685426184044,0,1.0,32.257999420166016,32.257999420166016,1967-12-14 12:10:00,1967-12-15 18:00:00,,,,,,,,,,,,,,,,1.0
