flume,duration_DAP,runoffVolume_DAP,runoffPeak_DAP,runEventCode,dataType,runCalc_d,startTime,endTime,preName,missingRunDAPFlag,intervalNewHr
102,17.0,0.6678168,1.9260565999999997,0,a,,1967-07-16 16:27:00,1967-07-16 17:36:00,a19670716-162700,0.0,24.866666666666667
102,23.0,0.414782,2.7309064,0,a,,1967-07-31 14:52:00,1967-07-31 15:15:00,a19670731-145200,,357.26666666666665
102,34.0,0.7579359999999999,3.5976051999999994,0,a,,1967-08-02 19:02:00,1967-08-02 19:36:00,a19670802-190200,,51.78333333333333
102,26.0,0.18686779999999997,1.2529058,0,a,,1967-08-09 20:20:00,1967-08-09 20:46:00,a19670809-202000,,168.73333333333332
102,10.0,0.059512199999999994,0.0,0,a,,1967-08-16 00:05:00,1967-08-16 00:15:00,a19670816-000500,,147.31666666666666
102,19.0,0.0706374,0.021132799999999997,0,a,,1967-08-21 13:09:00,1967-08-21 13:28:00,a19670821-130900,,132.9
102,43.0,0.974598,7.989747799999999,1,a,,1967-09-10 14:56:00,1967-09-10 15:39:00,a19670910-145600,,481.46666666666664
102,61.0,2.378456,6.2769242,0,a,,1967-09-11 15:39:00,1967-09-11 16:40:00,a19670911-153900,,24.0
102,29.0,2.259838,25.035255999999997,0,a,,1967-09-24 15:57:00,1967-09-24 16:26:00,a19670924-155700,,311.28333333333336
102,27.0,0.305054,2.045081,0,a,,1967-09-25 17:05:00,1967-09-25 17:32:00,a19670925-170500,,24.65
102,24.0,0.12740639999999998,0.37876479999999996,0,a,,1967-09-26 16:52:00,1967-09-26 17:16:00,a19670926-165200,,23.333333333333332
102,19.0,0.0694182,0.1838198,0,a,,1967-12-15 03:11:00,1967-12-15 03:30:00,a19671215-031100,,1905.9166666666667
102,46.0,0.6608826,1.6054069999999998,0,a,,1967-12-20 00:19:00,1967-12-20 02:10:00,a19671220-001900,0.0,116.81666666666666
102,43.0,0.43484799999999996,1.4945106,1,a,,1968-07-02 14:14:00,1968-07-02 14:57:00,a19680702-141400,,4692.066666666667
102,36.0,0.8229599999999999,6.5963038,0,a,,1968-07-05 10:34:00,1968-07-05 11:10:00,a19680705-103400,,67.61666666666666
102,44.0,0.737362,3.8101016,1,a,,1968-07-05 17:51:00,1968-07-05 18:35:00,a19680705-175100,,6.683333333333334
102,31.0,0.31521399999999994,1.9136614,0,a,,1968-07-18 18:11:00,1968-07-18 18:42:00,a19680718-181100,,311.6
102,33.0,0.36449,2.9235653999999998,0,a,,1968-07-20 19:58:00,1968-07-20 20:31:00,a19680720-195800,,49.266666666666666
102,37.0,0.357886,2.7348179999999997,0,a,,1968-07-24 15:33:00,1968-07-24 16:10:00,a19680724-153300,,91.03333333333333
102,4.0,0.00919734,0.0,0,a,,1968-08-09 20:52:00,1968-08-09 20:56:00,a19680809-205200,,388.7
102,38.0,0.15496539999999998,0.4324096,0,a,,1968-08-20 06:16:00,1968-08-20 06:54:00,a19680820-061600,,249.33333333333334
102,52.0,4.302759999999999,29.058996999999998,0,a,,1968-08-25 17:43:00,1968-08-25 18:35:00,a19680825-174300,,130.81666666666666
102,40.0,0.693166,3.3364678,0,a,,1968-08-29 20:25:00,1968-08-29 21:05:00,a19680829-202500,,97.83333333333333
102,77.0,7.06628,23.3609388,0,a,,1968-08-31 12:50:00,1968-08-31 14:07:00,a19680831-125000,,39.75
102,19.0,0.1986026,1.6047974,0,a,,1968-09-14 06:00:00,1968-09-14 06:19:00,a19680914-060000,,327.8833333333333
102,31.0,0.889254,9.550780999999999,1,a,,1969-07-10 19:54:00,1969-07-10 20:25:00,a19690710-195400,,7189.583333333333
102,13.0,0.0750824,0.0337566,0,a,,1969-07-22 13:42:00,1969-07-22 13:55:00,a19690722-134200,,281.28333333333336
102,31.0,0.6705599999999999,5.381752,0,a,,1969-07-28 02:30:00,1969-07-28 03:01:00,a19690728-023000,,132.58333333333334
102,14.0,0.1425956,0.4400804,1,a,,1969-08-06 21:09:00,1969-08-06 21:23:00,a19690806-210900,,234.13333333333333
102,14.0,0.19204939999999998,1.14173,0,a,,1969-08-13 19:28:00,1969-08-13 19:42:00,a19690813-192800,,166.08333333333334
