,preName,runStart,runEnd,runoff,peak,runDur,runCode,nGauges,avgRain,minRain,maxRain,rainPeak,rainStartFirst,rainStartLast,rainEndLast,rainEndFirst,runErainE,runSrainSL,runSrainEL,lowRunFlag,lowRainFlag,runAeFlag,runPrFlag,rainLateFlag,runLateFlag,runLateFlag2
15,20140701-231500,2014-07-01 23:15:00,2014-07-01 23:45:00,0.05311484527142857,0.1504853194285714,30.0,['A'],6.0,9.567333333333336,0.254,26.670000000000005,106.67999999999999,2014-06-30 23:55:00,2014-07-01 23:30:00,2014-07-02 00:10:00,2014-07-01 23:35:00,-0.3333333333333333,23.333333333333332,-0.9166666666666666,,,,,,,
16,20140712-174500,2014-07-12 17:45:00,2014-07-13 04:30:00,0.22243105614999995,0.0605986582,645.0,['A' 'A:e'],5.0,37.18560000000001,10.414000000000005,54.10199999999995,79.248,2014-07-11 19:20:00,2014-07-12 19:55:00,2014-07-13 04:25:00,2014-07-13 00:30:00,-6.75,22.416666666666668,-10.666666666666666,,,1.0,,,,
17,20140801-161500,2014-08-01 16:15:00,2014-08-01 18:30:00,0.026254024814285713,0.022572797914285715,135.0,['A' 'A:e'],5.0,6.096000000000002,3.5559999999999996,13.462000000000003,36.576,2014-08-01 15:40:00,2014-08-01 16:35:00,2014-08-01 18:35:00,2014-08-01 17:10:00,-0.9166666666666666,0.5833333333333334,-2.3333333333333335,,,1.0,,,,
18,20140810-220000,2014-08-10 22:00:00,2014-08-10 23:45:00,1.1733405080714285,1.0679603314285715,105.0,['A'],5.0,34.69639999999999,7.619999999999999,87.37599999999992,204.216,2014-08-10 18:05:00,2014-08-10 19:20:00,2014-08-10 22:00:00,2014-08-10 21:40:00,0.3333333333333333,3.9166666666666665,0.0,,,,,,,
19,20140826-220000,2014-08-26 22:00:00,2014-08-27 04:15:00,0.1688914539285714,0.06739476940000001,375.0,['A' 'A:e'],6.0,12.065000000000003,0.0,27.686,112.776,2014-08-26 08:55:00,2014-08-27 00:00:00,2014-08-27 04:15:00,2014-08-26 17:40:00,4.333333333333333,13.083333333333334,-6.25,,,1.0,,,,
20,20140904-164500,2014-09-04 16:45:00,2014-09-04 21:15:00,0.030380235185714286,0.01998380317142857,270.0,['A' 'A:e'],5.0,2.5907999999999998,0.0,5.588,24.384,2014-09-04 16:25:00,2014-09-04 17:15:00,2014-09-04 21:15:00,2014-09-04 16:50:00,-0.08333333333333333,0.3333333333333333,-4.5,,,1.0,,,,
21,20140928-234500,2014-09-28 23:45:00,2014-09-30 08:15:00,2.137023008275,0.07880252748571429,1950.0,['A' 'A:e'],6.0,14.393333333333336,0.0,44.196000000000005,185.928,2014-09-28 23:45:00,2014-09-29 17:25:00,2014-09-30 08:15:00,2014-09-29 17:35:00,-17.833333333333332,0.0,-32.5,,,1.0,,,,
22,20141008-234500,2014-10-08 23:45:00,2014-10-10 00:15:00,0.09084742099642856,0.00373786116,1470.0,['A' 'A:e'],6.0,28.194000000000006,0.0,57.40399999999999,45.72,2014-10-08 23:45:00,2014-10-09 15:55:00,2014-10-10 03:05:00,2014-10-08 23:55:00,-0.16666666666666666,0.0,-27.333333333333332,,,1.0,,,,
23,20150529-223000,2015-05-29 22:30:00,2015-05-29 23:45:00,0.1243122007,0.1173138242857143,75.0,['A'],6.0,23.15633333333334,14.732000000000001,30.988000000000014,30.48,2015-05-29 19:50:00,2015-05-29 21:15:00,2015-05-30 00:20:00,2015-05-29 23:40:00,-1.1666666666666667,2.6666666666666665,-1.8333333333333333,,,,,,,
24,20150610-141500,2015-06-10 14:15:00,2015-06-10 15:15:00,0.00015372156285714287,0.00030744312571428573,60.0,['A'],6.0,0.0,0.0,0.0,0.0,2015-06-10 14:15:00,2015-06-10 14:15:00,2015-06-10 15:15:00,2015-06-10 15:15:00,-1.0,0.0,-1.0,,,,,,,
