ID,Easting,Northing
G07126415,612676.8,4152799.8
G07126390,603649.2,4150185.6
G07126480,619384.3,4161093.2
G373315103493101,603786.3,4156907
G373232103555201,594354.1,4155561.5
G373706103410701,616028.1,4164282.3
G373823103465601,607466.8,4166447.9
